"property_number","borough_code","sign_name","category","site_amenities","sector_name","sector_desc","functional_acreage","total_acreage","avghours_2021q1","avghours_2021q2","avghours_2021q3","avghours_2021q4","avgcosts_2021q1","avgcosts_2021q2","avgcosts_2021q3","avgcosts_2021q4","avgdays_2021q1","avgdays_2021q2","avgdays_2021q3","avgdays_2021q4","fixedpost_2021q1","fixedpost_2021q2","fixedpost_2021q3","fixedpost_2021q4","q1work_order_cost","q2work_order_cost","q3work_order_cost","q4work_order_cost"
"B337","B","Century Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 13","District 13",2.28,2.28,29,8,38,43,428,132,633,770,3.2,2.9,5.2,5.2,"Yes","No","Yes","Yes",3516,484,380,606
"B248","B","Fox Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 17.18","Districts 17, 18",2.27,2.27,48,42,67,96,605,553,1055,1523,5.9,6.2,6.8,6.8,"Yes","Yes","Yes","Yes",83,346,412,1842
"B153","B","South Pacific Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",2.26,2.26,13,13,9,25,205,217,158,405,3.5,3.6,4.3,4.4,"No","No","No","No",494,973,866,1589
"Q320","Q","Vleigh Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 8.9","Districts 8, 9",2.24,2.24,8,19,29,40,135,402,644,891,3.9,5.6,6.2,6.2,"No","No","Yes","Yes",317,162,951,1174
"Q119","Q","Frederick B. Judge Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 10.12","Districts 10, 12",2.22,2.22,30,37,29,67,393,471,382,1057,4.9,5.8,5.8,6.5,"Yes","Yes","Yes","Yes",2543,219,74,552
"R161","R","Laredo Avenue Parcel","Small Park","Natural Areas","Staten Island Sector 3","District 3",2.22,2.22,0,0,0,0,3,2,2,2,1.2,1.1,1,1.1,"No","No","No","No",NA,NA,NA,NA
"X108","X","Belmont Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 3.6","Districts 3, 6",2.21,2.21,14,19,5,7,248,319,86,122,4.6,5.3,4.9,5.3,"Yes","No","No","No",1352,3569,1513,3365
"R025","R","Mahoney Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Staten Island Sector 1","District 1",2.21,2.21,5,6,6,10,80,99,106,143,4.9,6.5,6,5.4,"No","No","No","No",1024,1855,434,1954
"M095","M","Broadway Malls","Small Park",NA,"Manhattan Sector 7.9","Districts 7, 9",2.2041,2.2,12,31,26,38,210,484,385,578,3.2,5.1,4.3,4.9,"No","No","No","No",43,60,0,48
"B223I","B","Anchorage Plaza","Small Park",NA,"Brooklyn Sector 2","District 2",2.2,2.2,7,6,5,5,82,72,65,70,5.9,4.5,3.6,4,"Yes","Yes","Yes","No",NA,NA,NA,NA
"Q014","Q","Astoria Heights Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 1.2","Districts 1, 2",2.2,2.2,49,31,43,41,752,542,725,713,5,5.5,6,6.1,"Yes","Yes","Yes","Yes",706,272,203,1640
"Q066F","Q","Hoyt Playground","Small Park","Athletic Facilities,Playground","Queens Sector 1.2","Districts 1, 2",2.2,2.2,15,17,12,17,228,280,209,298,5.9,6.5,5.6,6.4,"No","No","No","No",294,769,111,1576
"X163","X","Loreto Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 11.12.14","Districts 11, 12, 14",2.18,2.18,5,4,5,18,91,72,82,268,6.1,4.5,4.3,6.5,"No","No","No","No",5905,1095,2851,2005
"X262","X","Harding Park","Small Park","Athletic Facility,Playground","Bronx Sector 9.10","Districts 9, 10",2.16,2.16,5,8,10,11,77,122,154,184,4.8,5.9,6.1,5.5,"No","No","No","No",749,80,175,139
"M399","M","Bella Abzug Park","Small Park","Comfort Station","Manhattan Sector 4.5","Districts 4, 5",2.15,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,56,333,0
"M308","M","Washington Market Park","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 1.2","Districts 1, 2",2.15,2.15,47,53,54,58,843,979,971,949,5.6,6.4,6.1,5.8,"Yes","Yes","Yes","Yes",1811,2663,1590,4186
"X266","X","Vidalia Park","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 3.6","Districts 3, 6",2.14,2.14,17,26,7,17,260,405,120,302,4.2,5.6,5.1,5.5,"Yes","No","No","No",1951,2810,1306,2678
"B193","B","Hamilton Metz Field","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 8.9","Districts 8, 9",2.11,2.11,11,7,12,52,208,132,204,897,4.3,4.4,3.7,6.1,"No","No","No","Yes",111,555,2118,432
"Q382","Q","Cardozo Playground","Small Park","Athletic Facilities,Playground","Queens Sector 14","District 14",2.1,2.1,6,4,4,6,92,67,66,93,4.2,4.5,4.8,4.3,"No","No","No","No",56,219,0,116
"Q386","Q","Centreville Playground","Small Park","Athletic Facilities,Playground","Queens Sector 10.12","Districts 10, 12",2.1,2.1,8,5,13,12,119,83,179,196,3.5,3.8,4.7,4.6,"No","No","No","No",94,301,42,581
"Q345","Q","Redfern Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 14","District 14",2.09,2.09,34,43,42,46,422,527,507,630,4.8,5,5,4.6,"Yes","Yes","Yes","Yes",121,499,61,59
"B239","B","Sheepshead Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 11.15","Districts 11, 15",2.09,2.09,17,25,24,25,244,344,292,323,4.5,6,5.2,5.7,"Yes","Yes","Yes","Yes",181,119,933,632
"X204","X","Story Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 9.10","Districts 9, 10",2.08,2.08,8,22,25,33,112,269,313,405,5,6,6.2,5.7,"No","Yes","Yes","Yes",738,180,113,1141
"Q388","Q","Linnaeus Park","Small Park","Athletic Facility","Queens Sector 11.13","Districts 11, 13",2.07,2.07,2,2,3,2,40,45,51,42,3,4.4,3.6,3.5,"No","No","No","No",59,65,92,35
"M087","M","Sakura Park","Small Park","Athletic Facility,Playground","Manhattan Sector 14","District 14",2.07,2.07,20,14,24,28,232,159,240,281,4.8,4.9,5.7,4.9,"Yes","Yes","Yes","Yes",0,135,228,160
"Q027","Q","Laurelton Parkway","Other","Athletic Facility,Comfort Station,Playground","Queens Sector 11.13","Districts 11, 13",2.0644,59.61,59,18,4,6,728,231,60,95,6.7,4.2,3.7,4.9,"Yes","No","No","No",2118,3510,463,651
"Q327","Q","Castlewood Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 11.13","Districts 11, 13",2.06,2.06,60,18,13,5,738,231,169,82,6.7,4.1,4.5,4.2,"Yes","No","No","No",111,103,658,2184
"R070","R","Clove's Tail","Small Park",NA,"Staten Island Sector 1","District 1",2.06,2.06,2,6,6,6,36,97,95,92,2.8,5.5,4.7,4.2,"No","No","No","No",NA,NA,NA,NA
"R123","R","Skyline Playground","Small Park","Athletic Facilities,Natural Areas,Playground","Staten Island Sector 1","District 1",2.06,2.06,5,6,6,8,84,105,105,120,4.6,6.2,5.5,5.2,"No","No","No","No",0,181,89,82
"Q346","Q","Challenge Playground","Small Park","Athletic Facilities,Playground","Queens Sector 11.13","Districts 11, 13",2.04,2.04,4,2,2,2,72,40,40,39,5.7,5.3,5.1,5.2,"No","No","No","No",1643,132,1233,85
"Q106","Q","Daniel M. O'Connell Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 10.12","Districts 10, 12",2.04,2.04,28,62,10,28,423,932,190,381,5.9,5.6,5.5,5.6,"No","Yes","No","No",3281,621,950,495
"Q340","Q","Torsney Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 1.2","Districts 1, 2",2.03,2.03,40,40,27,55,501,502,466,981,5.4,6,6.3,5.8,"Yes","Yes","No","Yes",889,1130,2052,1277
"Q330","Q","Locust Manor Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 10.12","Districts 10, 12",2,2,4,6,12,28,75,115,210,370,5.4,5.4,5.2,5.5,"No","No","No","Yes",1317,424,1912,680
"B038","B","Fulton Park","Small Park","Comfort Station","Brooklyn Sector 3.4","Districts 3, 4",1.99,1.99,15,16,17,25,223,252,252,412,4.4,4.9,5.4,6.1,"Yes","Yes","Yes","Yes",615,585,1757,396
"Q393H","Q","LaGuardia Landing Lights","Small Park",NA,"Queens Sector 3.4","Districts 3, 4",1.99,1.99,2,3,3,2,29,39,41,39,2.9,4,3.6,3.5,"No","No","No","No",0,70,14,0
"B061","B","McLaughlin Park","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 2","District 2",1.98,1.98,8,11,5,40,93,158,79,507,3.9,3.1,2.8,4.8,"Yes","No","No","Yes",5761,1292,1209,682
"Q361","Q","Moore Homestead Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 3.4","Districts 3, 4",1.98,1.98,17,32,52,33,280,552,920,559,5.6,5.7,6.7,6.2,"Yes","Yes","Yes","Yes",389,14429,1474,2886
"B128","B","Colonel David Marcus Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 10.12","Districts 10, 12",1.97,1.97,26,16,29,28,412,285,501,494,4.8,3.8,5.2,4,"Yes","Yes","Yes","Yes",936,703,215,807
"Q398","Q","Rosemary's Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 5.6","Districts 5, 6",1.97,1.97,20,24,25,28,267,301,321,375,4.3,4.8,5.1,5.3,"Yes","Yes","Yes","Yes",1590,671,3649,2690
"B263","B","Sumner Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 3.4","Districts 3, 4",1.97,1.97,10,14,6,10,168,225,99,165,3.3,3.8,2.9,4.5,"No","No","No","No",660,227,207,506
"Q293","Q","Saul Weprin Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 11.13","Districts 11, 13",1.96,1.96,3,3,4,17,54,57,62,291,5.4,5.9,5.6,5.8,"No","No","No","No",611,969,227,667
"M220","M","Frederick Douglass Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 7.9","Districts 7, 9",1.95,1.95,44,35,63,64,544,439,787,908,6.6,6.4,6.7,6.6,"Yes","Yes","Yes","Yes",714,2664,1081,14813
"X138","X","Playground One Thirty Four CXXXIV","Small Park","Athletic Facilities","Bronx Sector 1.2","Districts 1, 2",1.95,1.95,2,7,8,13,37,106,108,205,2.2,5,4.6,4.4,"No","No","No","No",67,0,0,0
"Q133A","Q","Hempstead Ballfield","Small Park","Athletic Facility","Queens Sector 11.13","Districts 11, 13",1.94,1.94,1,2,3,4,16,36,46,62,2.1,3.3,3.2,3,"No","No","No","No",57,0,0,325
"B223JC","B","Bridge Park 3","Small Park","Athletic Facilities","Brooklyn Sector 2","District 2",1.93,1.93,16,15,4,6,194,186,54,97,6.1,3.6,1.3,2.6,"Yes","Yes","Yes","No",898,0,0,0
"B382A","B","Roberto Clemente Ballfield","Small Park","Athletic Facility","Brooklyn Sector 1","District 1",1.93,1.93,7,5,6,7,109,92,100,122,6.6,6.5,6.2,6,"No","No","No","No",76,802,0,232
"R069","R","Terrace Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Staten Island Sector 1","District 1",1.92,1.92,7,10,10,8,109,158,146,122,5.2,6.3,5.6,4.4,"No","No","No","No",604,1045,194,404
"Q303","Q","Travers Park","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 3.4","Districts 3, 4",1.92,1.92,15,25,22,25,216,395,374,437,6.2,6.1,6.3,5.6,"No","Yes","Yes","Yes",2853,12333,2371,3909
"X121","X","Bufano Park","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 9.10","Districts 9, 10",1.9,1.9,44,57,55,45,559,718,687,599,5.6,6.4,6.2,6,"Yes","Yes","Yes","Yes",160,1600,666,2204
"B343","B","Osborn Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 5.16","Districts 5, 16",1.9,1.9,30,36,33,43,368,440,402,618,5.3,5.7,5.8,5.8,"Yes","Yes","Yes","Yes",933,1622,660,1772
"M031","M","Amelia Gorman Park","Small Park",NA,"Manhattan Sector 12.12A","Districts 12, 12A",1.89,1.89,12,9,8,10,172,136,118,149,5.3,5.8,5.5,5.2,"No","No","No","No",107,48,582,52
"Q394","Q","Conch Playground","Small Park","Athletic Facilities,Playground","Queens Sector 14","District 14",1.89,1.89,5,4,4,5,85,63,66,84,4.2,4.6,5,4.4,"No","No","No","No",1267,1417,312,209
"B235","B","Herman Dolgon Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 11.15","Districts 11, 15",1.89,1.89,33,35,17,61,417,444,251,749,5.6,5.5,5.2,6.1,"Yes","Yes","No","Yes",190,226,790,3537
"X261","X","Kwame Ture Recreation Center","Small Park","Athletic Facilities","Bronx Sector 4.5","Districts 4, 5",1.88,1.88,2,2,2,3,34,30,40,60,1.8,2.4,3.5,2.8,"No","No","No","No",1458,1816,931,2710
"B223JB","B","Susan Smith McKinney Steward Park","Small Park","Athletic Facilities,Playground","Brooklyn Sector 2","District 2",1.88,1.88,19,17,6,13,233,220,87,154,6.1,4.5,2.9,3.1,"Yes","Yes","No","No",484,1919,0,1004
"M030","M","Thomas Paine Park","Small Park",NA,"Manhattan Sector 1.2","Districts 1, 2",1.88,1.88,98,81,61,81,1329,1212,838,1125,6.7,6.8,5.9,5.8,"Yes","Yes","Yes","Yes",53,353,404,3
"X217","X","Willis Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",1.88,1.88,11,15,14,20,170,233,198,295,3.6,5.8,5.2,5.6,"No","No","No","Yes",10287,695,2033,480
"B019","B","Carroll Park","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 6.7","Districts 6, 7",1.87,1.87,26,30,52,79,331,389,654,1017,5.9,6.5,6.5,6.6,"Yes","Yes","Yes","Yes",2856,973,732,2534
"X195A","X","Colgate Close","Small Park","Athletic Facilities,Playground","Bronx Sector 9.10","Districts 9, 10",1.87,1.87,8,8,8,8,133,146,135,152,4.5,6,5.8,5.5,"No","No","No","No",2067,381,413,870
"X289","X","Mapes Park","Small Park","Athletic Facility","Bronx Sector 3.6","Districts 3, 6",1.87,1.87,6,9,3,6,93,130,56,118,2.6,4,4.4,4.3,"No","No","No","No",0,150,288,1169
"Q128","Q","London Planetree Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 8.9","Districts 8, 9",1.84,1.84,36,36,24,3,478,571,308,56,6.4,6.9,6.1,5,"Yes","Yes","No","No",875,337,187,435
"B419","B","Sutter Ballfields","Small Park","Athletic Facilities","Brooklyn Sector 5.16","Districts 5, 16",1.84,1.84,3,8,8,10,57,124,130,156,1.8,3.5,3.9,4.5,"No","No","No","No",1708,155,0,155
"X153","X","Merriam Playground","Small Park","Athletic Facilities,Playgrounds","Bronx Sector 4.5","Districts 4, 5",1.8372,2.94,14,16,21,30,239,257,337,456,3.4,4.6,5.2,6,"No","No","No","No",2598,2629,1136,11994
"B210H","B","Harold Ickes Playground","Small Park","Athletic Facilities","Brooklyn Sector 6.7","Districts 6, 7",1.82,1.82,6,7,9,11,92,109,145,174,5.3,5.4,5.8,5.2,"No","No","No","No",13,60,125,60
"X116","X","Rev J Polite Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",1.82,1.82,8,17,12,15,122,275,183,249,2.9,6.2,5.2,5.9,"No","No","No","No",3013,1534,2198,785
"B105","B","Taaffe Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 3.4","Districts 3, 4",1.82,1.82,12,17,12,13,207,267,185,208,3.4,3.9,3.6,4.3,"No","No","No","No",328,918,69,945
"B381","B","Thomas Boyland Park","Small Park","Athletic Facilities","Brooklyn Sector 3.4","Districts 3, 4",1.82,1.82,19,14,11,9,333,221,187,143,4.5,3.8,3.7,3.3,"Yes","No","No","No",864,893,530,374
"M009","M","Bennett Park","Small Park","Comfort Station,Playground","Manhattan Sector 12.12A","Districts 12, 12A",1.8,1.8,25,21,25,43,318,264,314,546,4.9,5.6,5.7,5.9,"Yes","Yes","Yes","Yes",1083,621,334,765
"X111","X","Cedar Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 4.5","Districts 4, 5",1.8,1.8,5,8,7,11,123,160,133,194,3.2,3.7,3,4.2,"No","No","No","No",302,777,1200,467
"Q030","Q","Midland Malls","Small Park",NA,"Queens Sector 8.9","Districts 8, 9",1.8,1.8,1,2,3,5,17,34,47,85,1.6,2.1,2.2,2.4,"No","No","No","No",0,26,0,39
"B216","B","Raymond Bush Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 3.4","Districts 3, 4",1.8,1.8,25,31,41,42,339,429,509,585,3.5,4.1,4.7,4.6,"Yes","Yes","Yes","Yes",815,275,3639,508
"X055","X","Brust Park","Small Park","Playground","Bronx Sector 7.8","Districts 7, 8",1.79,1.79,5,5,6,6,84,78,95,104,4.5,5.1,5.4,5.2,"No","No","No","No",1004,548,59,409
"B228","B","Dr. Green Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 5.16","Districts 5, 16",1.79,1.79,27,53,43,32,411,772,536,448,4.1,5.8,6.1,5.1,"Yes","Yes","Yes","Yes",870,338,1924,2883
"Q108","Q","Laurelton Playground","Small Park","Athletic Facilities,Playground","Queens Sector 11.13","Districts 11, 13",1.79,1.79,3,3,4,5,49,54,63,78,2.2,2.7,3.3,3.8,"No","No","No","No",854,223,135,243
"X179","X","Playground 52 LII","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 1.2","Districts 1, 2",1.79,1.79,13,16,14,22,203,247,222,364,3.6,5.2,4.8,5.8,"No","No","No","Yes",1251,1583,795,1203
"Q474","Q","Simeone Park","Small Park",NA,"Queens Sector 3.4","Districts 3, 4",1.78,1.78,9,7,6,5,145,113,91,95,5.7,5.7,5.9,5.7,"No","No","No","No",42,340,169,1021
"R028","R","Tappen Park","Small Park","Comfort Station","Staten Island Sector 1","District 1",1.78,1.78,6,8,6,10,90,125,91,159,4.6,6.1,4.8,5.5,"No","No","No","No",532,5189,496,1261
"B296","B","Luna Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 13","District 13",1.76,1.76,5,4,8,7,78,56,114,113,2.3,1.9,4.1,4.3,"No","No","No","No",321,45,269,490
"B369","B","Steeplechase Park","Large Park",NA,"Brooklyn Sector 13","District 13",1.7584,10.01,3,5,5,11,51,75,81,160,4.4,4.1,4.6,6.1,"No","No","No","No",983,125,75,162
"M194","M","Alfred E. Smith Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 3","District 3",1.75,1.75,23,4,5,12,348,60,80,203,6,4.5,4.1,5.5,"Yes","No","No","Yes",337,2041,675,1951
"Q342","Q","Electric Playground","Small Park","Athletic Facilities,Playground","Queens Sector 8.9","Districts 8, 9",1.75,1.75,3,6,8,18,55,85,163,230,3.2,4.8,5,4.8,"No","No","No","Yes",1317,726,438,2899
"Q393C","Q","LaGuardia Landing Lights","Small Park",NA,"Queens Sector 3.4","Districts 3, 4",1.75,1.75,1,2,2,2,22,37,37,38,3,4.4,4,3.8,"No","No","No","No",38,0,0,0
"Q425","Q","Yellowstone Park","Small Park","Athletic Facility,Comfort Station,Playground","Queens Sector 5.6","Districts 5, 6",1.75,1.75,16,22,11,16,208,319,188,238,5.4,5.6,4.7,4.8,"Yes","Yes","No","Yes",1887,972,2123,1331
"M289","M","East River Esplanade","Small Park",NA,"Manhattan Sector 6.8.15","Districts 6, 8, 15",1.74,1.74,16,16,19,25,227,238,277,382,3.1,4.4,5.2,6.5,"No","No","No","Yes",NA,NA,NA,NA
"Q450","Q","Corona Golf Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 3.4","Districts 3, 4",1.72,1.72,23,20,20,18,317,314,329,295,5.6,6.2,6.5,6,"Yes","Yes","Yes","Yes",534,372,913,556
"Q363","Q","Northern Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 3.4","Districts 3, 4",1.72,1.72,31,36,34,26,384,475,425,431,5.5,5.8,5.6,5.5,"Yes","Yes","Yes","Yes",788,1541,342,321
"B279","B","Wilson Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 17.18","Districts 17, 18",1.72,1.72,11,9,10,8,157,133,145,115,2.4,3.2,4.3,2.9,"No","No","No","No",1111,0,0,56
"B003","B","Bartel-Pritchard Square","Small Park",NA,"Brooklyn Sector 14.19","Districts 14, 19",1.71,1.71,34,26,13,39,458,351,199,570,6.2,6.1,4.8,6,"Yes","Yes","Yes","Yes",13,62,0,253
"X239","X","Castle Hill Little League Field","Small Park","Athletic Facilities","Bronx Sector 9.10","Districts 9, 10",1.71,1.71,2,5,6,8,33,82,95,121,3,5.2,5.2,5.4,"No","No","No","No",74,0,0,69
"Q031A","Q","Doughboy Park","Small Park",NA,"Queens Sector 1.2","Districts 1, 2",1.71,1.71,22,24,30,41,264,302,377,561,5.6,6.2,6.1,5.7,"Yes","Yes","Yes","Yes",165,99,0,50
"M004","M","Allen Mall One","Small Park",NA,"Manhattan Sector 3","District 3",1.7,1.7,7,6,13,24,117,112,197,361,4.6,4.4,4.3,6.2,"No","No","No","Yes",141,564,131,1523
"B401","B","Grand Ferry Park","Small Park",NA,"Brooklyn Sector 1","District 1",1.7,1.7,10,8,9,13,127,104,127,203,4.6,5.6,6.2,5.4,"Yes","Yes","Yes","Yes",1593,245,37,124
"M229","M","Happy Warrior Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Manhattan Sector 7.9","Districts 7, 9",1.7,1.7,21,17,22,26,328,282,339,390,6.7,6.8,6.8,6.5,"No","No","No","No",48,1193,1260,1915
"Q306","Q","The Painter's Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 5.6","Districts 5, 6",1.7,1.7,12,19,12,16,163,269,170,250,5.8,5.8,4.5,4.5,"No","Yes","No","Yes",1624,470,1003,2509
"M205","M","Playground One Twenty Five CXXV","Small Park","Athletic Facilities,Playground","Manhattan Sector 7.9","Districts 7, 9",1.69,1.69,6,11,10,13,107,167,147,200,5.1,5.7,5.1,5.8,"No","No","No","No",97,105,28,222
"B266","B","Star Spangled Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 3.4","Districts 3, 4",1.69,1.69,18,30,33,29,231,437,462,412,3.9,5.1,4.9,5.3,"Yes","Yes","Yes","Yes",570,1386,250,346
"R038","R","Midland Playground","Small Park","Athletic Facilities,Comfort Station","Staten Island Sector 2.2B","Districts 2, 2B",1.68,1.68,12,11,18,32,191,176,297,517,5.8,5.2,5.5,6.2,"Yes","Yes","Yes","Yes",657,0,628,280
"X081","X","Mount Eden Malls","Small Park",NA,"Bronx Sector 4.5","Districts 4, 5",1.68,1.68,7,8,7,12,103,135,109,194,4.4,4.1,4.5,4.1,"No","No","No","No",1254,988,787,627
"B140","B","Banneker Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 3.4","Districts 3, 4",1.67,1.67,14,20,12,26,211,264,189,394,4,4.2,4.2,4.9,"No","No","No","No",264,1164,116,27
"M038","M","James J Walker Park","Small Park","Athletic Facilities,Playground","Manhattan Sector 1.2","Districts 1, 2",1.67,1.67,3,3,7,3,57,63,143,51,4.1,5.2,5.1,4.8,"No","No","No","No",197,767,730,1319
"Q268","Q","Bell Malls","Small Park",NA,"Queens Sector 11.13","Districts 11, 13",1.65,1.65,2,3,2,2,31,55,34,48,2.6,4.2,3.3,3.1,"No","No","No","No",0,0,538,0
"X202","X","Marble Hill Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 7.8","Districts 7, 8",1.65,1.65,10,8,11,48,166,140,172,619,5.2,6.2,5.9,5.6,"No","No","No","Yes",1551,1970,693,28
"B396","B","Nehemiah Park","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",1.65,1.65,11,21,35,21,153,287,430,302,2.9,4.9,5.6,5.2,"No","Yes","Yes","Yes",336,498,0,178
"B146","B","Quaker Parrot Park at the Dust Bowl","Small Park","Athletic Facilities","Brooklyn Sector 10.12","Districts 10, 12",1.65,1.65,12,8,6,10,172,122,104,168,3.1,2.6,2.3,4,"Yes","No","No","No",1561,580,436,2141
"Q360J","Q","Crowley Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 3.4","Districts 3, 4",1.63,1.63,35,27,28,14,469,427,391,232,6.4,6.5,6.2,6,"Yes","Yes","Yes","No",71,733,276,348
"B342","B","100% Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 17.18","Districts 17, 18",1.62,1.62,83,68,57,114,1238,1023,886,1707,6.6,6.7,6.6,6.8,"Yes","Yes","Yes","Yes",2911,797,291,1352
"X232","X","Burns Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 11.12.14","Districts 11, 12, 14",1.62,1.62,6,4,3,26,104,69,59,360,5.6,4.7,4.4,6.2,"No","No","No","No",1758,904,1021,226
"B294","B","Jackie Robinson Park Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Brooklyn Sector 3.4","Districts 3, 4",1.61,1.61,29,34,28,64,371,415,357,999,3.8,4.1,3.8,5.5,"Yes","Yes","Yes","Yes",1801,1050,479,1240
"Q393D","Q","LaGuardia Landing Lights","Small Park",NA,"Queens Sector 3.4","Districts 3, 4",1.61,1.61,1,2,2,2,20,33,34,37,2.9,4.4,3.5,3.8,"No","No","No","No",47,0,0,0
"X172","X","Allerton Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 11.12.14","Districts 11, 12, 14",1.6,1.6,5,5,3,18,80,84,50,259,5,5.2,4.3,6.4,"No","No","No","No",2105,130,1068,2562
"R097","R","Ida Court","Small Park","Playground","Staten Island Sector 3","District 3",1.6,1.6,3,3,5,4,46,48,84,66,5.9,6.1,5.8,6.5,"No","No","No","No",NA,NA,NA,NA
"R114","R","Jennifer's Playground","Small Park","Athletic Facility,Comfort Station,Playground","Staten Island Sector 1","District 1",1.6,1.6,12,11,8,11,187,180,124,161,5.9,5.7,4.8,4.5,"No","No","No","No",1391,4437,1959,2716
"B144","B","Ocean Hill Playground","Small Park","Athletic Facilities,Playground","Brooklyn Sector 5.16","Districts 5, 16",1.6,1.6,36,52,51,28,533,749,707,419,5.9,6.2,6.6,6.5,"Yes","Yes","Yes","Yes",842,2090,0,28
"Q357B","Q","Real Good Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Queens Sector 5.6","Districts 5, 6",1.6,1.6,11,13,10,14,181,229,174,254,5.3,5.5,5.2,4.8,"Yes","Yes","No","Yes",697,1686,1862,257
"M263","M","Bellevue South Park","Small Park","Athletic Facilities,Playground","Manhattan Sector 6.8.15","Districts 6, 8, 15",1.59,1.59,31,30,32,26,450,442,474,410,6.2,6.2,6.2,5.8,"Yes","No","Yes","No",58,184,108,279
"M203C","M","Dag Hammarskjold Plaza","Small Park",NA,"Manhattan Sector 6.8.15","Districts 6, 8, 15",1.59,1.59,14,35,34,25,128,177,226,110,5.1,6.5,6.6,5.7,"Yes","Yes","Yes","Yes",886,18,798,1550
"X157","X","Mazzei Playground","Small Park","Athletic Facilities,Comfort Station,Playground","Bronx Sector 11.12.14","Districts 11, 12, 14",1.59,1.59,6,3,5,17,99,51,71,245,5.2,5.2,4.1,6.1,"No","No","No","No",440,626,79,365
