"NAME","GEO_ID","S0101_C01_001E","S1901_C01_001E","S1901_C01_002E","S1901_C01_003E","S1901_C01_004E","S1901_C01_005E","S1901_C01_006E","S1901_C01_007E","S1901_C01_008E","S1901_C01_009E","S1901_C01_010E","S1901_C01_011E","S1901_C01_012E","S1901_C01_013E","ZCTA5","DP02_0087E","DP02_0093E","DP05_0070E","DP05_0077E","DP05_0077PE"
"ZCTA5 26743","8600000US26743",1486,602,2.2,1.2,12.1,7.5,20.8,25.7,15.6,13,0,2,54400,63266,"26743",1486,0,1486,1486,100
"ZCTA5 26750","8600000US26750",778,330,14.8,10.9,10.6,14.2,11.2,20.6,7.9,5.8,1.5,2.4,34737,58612,"26750",778,0,778,425,54.6
"ZCTA5 26560","8600000US26560",171,66,0,0,0,0,42.4,0,31.8,25.8,0,0,78095,69485,"26560",171,0,171,171,100
"ZCTA5 26335","8600000US26335",1887,650,6.8,4.8,16.3,4,9.5,22,30,3.4,3.2,0,60000,56966,"26335",1887,6,1887,1881,99.7
"ZCTA5 26254","8600000US26254",189,105,0,11.4,32.4,16.2,13.3,15.2,11.4,0,0,0,30956,37303,"26254",189,0,189,189,100
"ZCTA5 26563","8600000US26563",437,202,0,11.9,0,42.1,8.9,16.3,7.9,0,12.9,0,34167,56647,"26563",437,0,437,273,62.5
"ZCTA5 26591","8600000US26591",1493,552,4.9,4.2,13.2,5.8,13.8,21.2,16.5,20.5,0,0,64554,61780,"26591",1493,0,1493,1472,98.6
"ZCTA5 26178","8600000US26178",239,105,9.5,0,0,9.5,54.3,6.7,20,0,0,0,38375,44186,"26178",239,0,239,239,100
"ZCTA5 26425","8600000US26425",912,452,10.8,6.2,21.7,7.5,9.3,21.9,6.2,13.9,2.4,0,39333,52229,"26425",912,0,912,908,99.6
"ZCTA5 26559","8600000US26559",1216,502,4.2,3,16.1,12.2,4.4,21.3,18.3,13.9,6.4,0.2,62250,65616,"26559",1216,21,1216,1115,91.7
"ZCTA5 26631","8600000US26631",302,108,17.6,12,26.9,22.2,21.3,0,0,0,0,0,19397,21943,"26631",302,0,302,302,100
"ZCTA5 26030","8600000US26030",590,225,1.8,5.3,15.1,14.2,10.7,20.9,16.4,13.3,2.2,0,52031,57431,"26030",590,3,590,562,95.3
"ZCTA5 26170","8600000US26170",6275,2299,5.7,4.8,12.8,10.8,15.8,13.3,15.7,14.1,4.7,2.3,50078,77147,"26170",6275,18,6275,5896,94
"ZCTA5 26268","8600000US26268",33,17,0,0,58.8,0,0,41.2,0,0,0,0,NA,NA,"26268",33,0,33,33,100
"ZCTA5 17953","8600000US17953",427,194,3.1,3.1,15.5,14.9,19.1,17.5,14.4,9.8,2.6,0,43056,55207,"17953",427,12,427,422,98.8
"ZCTA5 27958","8600000US27958",11354,4235,3.4,1.3,6.4,6.9,7.2,17.7,17.2,26.3,8.1,5.5,86250,91959,"27958",11354,152,11354,9760,86
"ZCTA5 26321","8600000US26321",317,160,9.4,16.9,16.9,20.6,17.5,11.3,7.5,0,0,0,25833,31899,"26321",317,0,317,317,100
"ZCTA5 26412","8600000US26412",517,170,28.8,0,15.3,6.5,9.4,24.7,14.1,1.2,0,0,NA,39362,"26412",517,12,517,501,96.9
"ZCTA5 27890","8600000US27890",2685,1042,16.4,10,13.3,15.2,16.5,16.4,4,5.7,2.1,0.4,31224,40165,"27890",2685,16,2685,480,17.9
"ZCTA5 27101","8600000US27101",19713,8631,15.3,8,13.8,13.6,10.7,17.6,6.1,7.9,3.9,3.2,34477,58088,"27101",19713,1172,19713,7830,39.7
"ZCTA5 27283","8600000US27283",3194,1205,3.6,6,5.3,8,15.4,25,8.3,17.6,6.6,4.3,59102,76730,"27283",3194,169,3194,2729,85.4
"ZCTA5 27834","8600000US27834",57258,23272,12.3,7.1,14,11.7,15.4,17.1,8.8,8.2,2.9,2.6,39042,56612,"27834",57258,3143,57258,19399,33.9
"ZCTA5 27873","8600000US27873",413,161,2.5,14.9,13.7,12.4,0.6,29.2,18.6,7.5,0.6,0,53750,52531,"27873",413,53,413,173,41.9
"ZCTA5 27925","8600000US27925",4003,1518,7.6,12.5,14.3,13,12.2,17.2,13.4,7.9,1.2,0.9,38145,49084,"27925",4003,128,4003,2140,53.5
"ZCTA5 27973","8600000US27973",1205,617,1.3,0,16.9,13.1,16,18.2,17.5,13,2.1,1.9,58750,64391,"27973",1205,0,1205,1088,90.3
"ZCTA5 27110","8600000US27110",2723,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27110",2723,86,2723,443,16.3
"ZCTA5 27201","8600000US27201",66,30,0,0,20,33.3,0,20,26.7,0,0,0,NA,48563,"27201",66,0,66,66,100
"ZCTA5 27205","8600000US27205",34805,13126,6.8,4.6,10.4,11.1,14.7,20.1,15,12.3,2.8,2.1,53212,65136,"27205",34805,2141,34805,28580,82.1
"ZCTA5 27332","8600000US27332",30743,10663,5.3,3.6,8.1,11.4,14.2,21.7,15.9,12.5,4.7,2.6,57459,69104,"27332",30743,2301,30743,18813,61.2
"ZCTA5 27340","8600000US27340",43,37,0,0,73,0,0,0,0,27,0,0,NA,NA,"27340",43,0,43,37,86
"ZCTA5 27517","8600000US27517",25355,11656,4.8,2.2,5.5,7,9.7,12.5,11.4,16.1,10.1,20.7,91985,139847,"27517",25355,3334,25355,18710,73.8
"ZCTA5 27518","8600000US27518",20102,8267,2.6,1.1,3.1,4.4,8.1,15.9,12.6,17.3,14.4,20.7,106721,142551,"27518",20102,3277,20102,15708,78.1
"ZCTA5 27519","8600000US27519",56482,19707,1.8,1,2.9,3.7,6.1,10.4,10.4,20.6,18.5,24.5,133227,153188,"27519",56482,16817,56482,28951,51.3
"ZCTA5 27523","8600000US27523",12441,4426,1.1,0.5,5,4.6,6.9,14.8,13.2,23.5,12.9,17.4,103250,132691,"27523",12441,1884,12441,8718,70.1
"ZCTA5 27527","8600000US27527",25337,8287,2.7,2,4.6,5,10.5,16.3,18.4,22,8.8,9.8,90625,108471,"27527",25337,2367,25337,18951,74.8
"ZCTA5 27531","8600000US27531",778,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27531",778,83,778,297,38.2
"ZCTA5 27537","8600000US27537",23736,8743,8.3,5,11.2,13.4,18.2,18.3,13.4,7.1,2.9,2.3,45367,60302,"27537",23736,1326,23736,11634,49
